CustomerID,Gender,Region,PurchaseAmount,ProductCategory,Churn,CampaignGroup
1001,Male,South,256.07,Fashion,No,A
1002,Female,South,,Electronics,Yes,B
1003,Female,West,1194.41,Fashion,No,A
1004,Female,South,413.06,Grocery,No,A
1005,Male,West,1556.32,Fashion,Yes,A
1006,Male,North,964.44,Fashion,Yes,A
1007,Male,West,1042.8,Electronics,No,A
1008,Female,West,860.81,Electronics,No,A
1009,Female,North,1386.42,Electronics,Yes,B
1010,Female,South,1391.58,Fashion,No,B
1011,Male,North,1167.53,Fashion,No,
1012,Female,East,1282.39,,No,A
1013,Female,East,893.96,Electronics,Yes,A
1014,Male,East,1271.1,Fashion,No,B
1015,Male,North,831.06,Fashion,Yes,B
1016,Male,North,1001.12,Fashion,No,A
1017,Male,North,862.68,Grocery,No,A
1018,Female,South,771.39,Electronics,Yes,A
1019,Male,East,655.44,Electronics,No,A
1020,Male,West,1233.85,Grocery,Yes,A
1021,Female,East,1655.3,Fashion,No,
1022,Male,South,1585.55,Electronics,Yes,A
1023,Male,West,371.72,Electronics,No,
1024,Male,East,1644.6,Fashion,Yes,B
1025,Male,West,840.92,Grocery,No,A
1026,Female,East,1300.37,Electronics,No,B
1027,Male,South,546.89,Fashion,No,B
1028,Female,North,1070.99,Fashion,Yes,A
1029,Female,West,1156.86,Fashion,No,A
1030,Male,North,257.7,,Yes,B
1031,Female,South,1304.13,Electronics,No,B
1032,Male,East,1672.97,,No,B
1033,Male,East,912.68,Fashion,No,A
1034,Female,East,1680.08,Grocery,No,A
1035,Female,North,905.15,Fashion,Yes,B
1036,Female,South,1424.79,Fashion,No,A
1037,Male,East,0.0,Grocery,Yes,B
1038,Male,,2209.39,Grocery,,B
1039,Female,West,1747.73,Electronics,No,B
1040,Male,West,857.69,Electronics,No,B
1041,Male,West,13.96,Fashion,No,B
1042,Female,East,1144.01,,Yes,B
1043,Male,North,278.04,Fashion,No,B
1044,Female,East,1222.43,Grocery,Yes,A
1045,Male,East,1205.78,Grocery,No,
1046,Female,East,529.3,Grocery,No,A
1047,Male,East,1560.48,Fashion,Yes,A
1048,Female,East,1402.79,Fashion,Yes,A
1049,Female,South,1487.91,,Yes,A
1050,Male,East,1004.43,Grocery,,B
1051,Female,North,292.24,Grocery,Yes,A
1052,Female,West,1488.94,Fashion,No,B
1053,Female,North,864.81,Grocery,No,A
1054,Female,North,,Electronics,Yes,A
1055,Female,South,1676.02,Electronics,No,A
